section,id,ja,en,chs,cht,opt,flags
tvp_win32,TVPCpuCheckFailureNotSupportedCpu,CPU check failure: Not supported CPU\r\n%1,CPU check failure: Not supported CPU\r\n%1,CPU 检查失败：不支持的 CPU 型号 \r\n%1,CPU 檢查失敗：不支援的 CPU 型號 \r\n%1,,
tvp_win32,TVPInfoCpuClock,(info) CPU clock : %.1fMHz,(info) CPU clock : %.1fMHz,（info）CPU 时钟频率：%.1fMHz,（info）CPU 時脈頻率：%.1fMHz,,
tvp_win32,TVPLayerBitmapBufferUnderrunDetectedCheckYourDrawingCode,Layer bitmap: Buffer underrun detected. Check your drawing code!,Layer bitmap: Buffer underrun detected. Check your drawing code!,Layer bitmap：出现缓冲区干涸，请检查你的渲染代码！,Layer bitmap：出現緩衝區乾涸，請檢查你的渲染程式碼！,,
tvp_win32,TVPLayerBitmapBufferOverrunDetectedCheckYourDrawingCode,Layer bitmap: Buffer overrun detected. Check your drawing code!,Layer bitmap: Buffer overrun detected. Check your drawing code!,Layer bitmap：出现缓冲区溢出，请检查你的渲染代码！,Layer bitmap：出現緩衝區溢位，請檢查你的渲染程式碼！,,
tvp_win32,TVPFaildToCreateDirect3D,Direct3D9 生成失敗,Faild to create Direct3D9.,创建 Direct3D9 失败。,建立 Direct3D9 失敗。,,
tvp_win32,TVPFaildToDecideBackbufferFormat,Faild to decide backbuffer format.,Faild to decide backbuffer format.,备用缓冲区格式未确定。,備用緩衝區格式未確定。,,
tvp_win32,TVPFaildToCreateDirect3DDevice,Faild to create Direct3D9 Device.,Faild to create Direct3D9 Device.,创建 Direct3D9 设备失败。,建立 Direct3D9 裝置失敗。,,
tvp_win32,TVPFaildToSetViewport,Faild to set viewport.,Faild to set viewport.,设置 viewport 失败。,設定 viewport 失敗。,,
tvp_win32,TVPFaildToSetRenderState,Faild to set render state.,Faild to set render state.,设置渲染状态失败。,設定渲染狀態失敗。,,
tvp_win32,TVPWarningImageSizeTooLargeMayBeCannotCreateTexture,warning : Image size too large. May be cannot create texture.,warning : Image size too large. May be cannot create texture.,warning : 图像尺寸过大。可能创建贴图会失败。,warning : 影像尺寸過大。可能建立貼圖會失敗。,,
tvp_win32,TVPUsePowerOfTwoSurface,2の累乗サイズのサーフェイスを使用します。,Use power of two surface.,请使用能被 2 整除的 surface。,請使用能被 2 整除的 surface。,,
tvp_win32,TVPCannotAllocateD3DOffScreenSurface,Cannot allocate D3D off-screen surface/HR=%1,Cannot allocate D3D off-screen surface/HR=%1,不能分配 D3D 离屏 surface/HR=%1,不能配置 D3D 離屏 surface/HR=%1,,
tvp_win32,TVPBasicDrawDeviceFailedToCreateDirect3DDevices,BasicDrawDevice: Failed to create Direct3D devices: %1,BasicDrawDevice: Failed to create Direct3D devices: %1,BasicDrawDevice: 创建 Direct3D9 设备失败：%1,BasicDrawDevice: 建立 Direct3D9 裝置失敗：%1,,
tvp_win32,TVPBasicDrawDeviceFailedToCreateDirect3DDevicesUnknownReason,BasicDrawDevice: Failed to create Direct3D devices: unknown reason,BasicDrawDevice: Failed to create Direct3D devices: unknown reason,BasicDrawDevice: 创建 Direct3D9 设备失败：未知原因,BasicDrawDevice: 建立 Direct3D9 裝置失敗：未知原因,,
tvp_win32,TVPBasicDrawDeviceTextureHasAlreadyBeenLocked,"BasicDrawDevice: テクスチャーは既にロックされています (EndBitmapCompletion() を呼ばずに StartBitmapCompletion() を2回呼び出しています), アンロックしてください.","BasicDrawDevice: Texture has already been locked (StartBitmapCompletion() has been called twice without EndBitmapCompletion()), unlocking the texture.","BasicDrawDevice: Texture 已被锁定（在未调用 EndBitmapCompletion() 的情况下 StartBitmapCompletion() 已经被调用了 2 次）,解锁中","BasicDrawDevice: Texture 已被鎖定（在未呼叫 EndBitmapCompletion() 的情況下 StartBitmapCompletion() 已經被呼叫了 2 次）,解鎖中",,
tvp_win32,TVPInternalErrorResult,Internal error/HR=%1,Internal error/HR=%1,内部错误 /HR=%1,內部錯誤 /HR=%1,,
tvp_win32,TVPBasicDrawDeviceInfPolygonDrawingFailed,BasicDrawDevice: (inf) ポリゴン描画に失敗しました/HR=%1,BasicDrawDevice: (inf) Polygon drawing failed/HR=%1,BasicDrawDevice: (inf) 多边形渲染失败/HR=%1,BasicDrawDevice: (inf) 多邊形渲染失敗/HR=%1,,
tvp_win32,TVPBasicDrawDeviceInfDirect3DDevicePresentFailed,BasicDrawDevice: (inf) IDirect3DDevice::Present failed/HR=%1,BasicDrawDevice: (inf) IDirect3DDevice::Present failed/HR=%1,BasicDrawDevice: (inf) IDirect3DDevice::Present 失败/HR=%1,BasicDrawDevice: (inf) IDirect3DDevice::Present 失敗/HR=%1,,
tvp_win32,TVPChangeDisplaySettingsFailedDispChangeRestart,ChangeDisplaySettings failed: DISP_CHANGE_RESTART,ChangeDisplaySettings failed: DISP_CHANGE_RESTART,ChangeDisplaySettings 失败: DISP_CHANGE_RESTART,ChangeDisplaySettings 失敗: DISP_CHANGE_RESTART,,
tvp_win32,TVPChangeDisplaySettingsFailedDispChangeBadFlags,ChangeDisplaySettings failed: DISP_CHANGE_BADFLAGS,ChangeDisplaySettings failed: DISP_CHANGE_BADFLAGS,ChangeDisplaySettings 失败: DISP_CHANGE_BADFLAGS,ChangeDisplaySettings 失敗: DISP_CHANGE_BADFLAGS,,
tvp_win32,TVPChangeDisplaySettingsFailedDispChangeBadParam,ChangeDisplaySettings failed: DISP_CHANGE_BADPARAM,ChangeDisplaySettings failed: DISP_CHANGE_BADPARAM,ChangeDisplaySettings 失败: DISP_CHANGE_BADPARAM,ChangeDisplaySettings 失敗: DISP_CHANGE_BADPARAM,,
tvp_win32,TVPChangeDisplaySettingsFailedDispChangeFailed,ChangeDisplaySettings failed: DISP_CHANGE_FAILED,ChangeDisplaySettings failed: DISP_CHANGE_FAILED,ChangeDisplaySettings 失败: DISP_CHANGE_FAILED,ChangeDisplaySettings 失敗: DISP_CHANGE_FAILED,,
tvp_win32,TVPChangeDisplaySettingsFailedDispChangeBadMode,ChangeDisplaySettings failed: DISP_CHANGE_BADMODE,ChangeDisplaySettings failed: DISP_CHANGE_BADMODE,ChangeDisplaySettings 失败: DISP_CHANGE_BADMODE,ChangeDisplaySettings 失敗: DISP_CHANGE_BADMODE,,
tvp_win32,TVPChangeDisplaySettingsFailedDispChangeNotUpdated,ChangeDisplaySettings failed: DISP_CHANGE_NOTUPDATED,ChangeDisplaySettings failed: DISP_CHANGE_NOTUPDATED,ChangeDisplaySettings 失败: DISP_CHANGE_NOTUPDATED,ChangeDisplaySettings 失敗: DISP_CHANGE_NOTUPDATED,,
tvp_win32,TVPChangeDisplaySettingsFailedUnknownReason,ChangeDisplaySettings 失敗: 不明な理由 (%1),ChangeDisplaySettings failed: unknown reason (%1),ChangeDisplaySettings 失败: DISP_CHANGE_RESTART,ChangeDisplaySettings 失敗: DISP_CHANGE_RESTART,,
tvp_win32,TVPFailedToCreateScreenDC,スクリーンデバイスコンテキストの取得に失敗しました,Failed to create screen DC,创建在屏（screen） DC 失败,建立在屏（screen） DC 失敗,,
tvp_win32,TVPFailedToCreateOffscreenBitmap,オフスクリーンビットマップの生成に失敗しました,Failed to create offscreen bitmap,创建离屏（offscreen）bitmap 失败,建立離屏（offscreen）bitmap 失敗,,
tvp_win32,TVPFailedToCreateOffscreenDC,オフスクリーンデバイスコンテキストの生成に失敗しました,Failed to create offscreen DC,创建离屏（offscreen）DC 失败,建立離屏（offscreen）DC 失敗,,
tvp_win32,TVPInfoSusiePluginInfo,(info) Susie プラグイン情報 : %1,(info) Susie plugin info : %1,（info）Susie 插件信息：%1,（info）Susie 外掛程式資訊：%1,,
tvp_win32,TVPSusiePluginUnsupportedBitmapHeader,サポートしていない Bitmap ヘッダーが Susie プラグインから渡されました,Non-supported bitmap header was given from susie plug-in.,所给定的位图文件头不被 Susie 插件支持。,所給定的點陣圖檔案標頭不被 Susie 外掛程式支援。,,
tvp_win32,TVPBasicDrawDeviceFailedToCreateDirect3DDevice,BasicDrawDevice: Direct3D Device の生成に失敗しました : %1,BasicDrawDevice: Failed to create Direct3D Device: %1,BasicDrawDevice: 创建 Direct3D 设备失败: %1,BasicDrawDevice: 建立 Direct3D 裝置失敗: %1,,
tvp_win32,TVPBasicDrawDeviceFailedToCreateDirect3DDeviceUnknownReason,BasicDrawDevice: Direct3D Device の生成に失敗しました : 不明な理由,BasicDrawDevice: Failed to create Direct3D Device: unknown reason,BasicDrawDevice: 创建 Direct3D 失败: 未知原因,BasicDrawDevice: 建立 Direct3D 失敗: 未知原因,,
tvp_win32,TVPCouldNotCreateAnyDrawDevice,Fatal: どの drawer オブジェクトも生成できませんでした,Fatal: Could not create any drawer objects.,（fatal）不能创建任何绘图对象。,（fatal）不能建立任何繪圖物件。,,
tvp_win32,TVPBasicDrawDeviceDoesNotSupporteLayerManagerMoreThanOne,"""Basic Draw"" デバイスでは２つ以上のLayer Managerを登録できない","""basic draw"" device does not support layer manager more than 1","不支持超过 1 个以上的 layer 管理器 ""Basic Draw""","不支援超過 1 個以上的 layer 管理器 ""Basic Draw""",,
tvp_win32,TVPInvalidVideoSize,無効なビデオサイズ,Invalid video size,无效的视频尺寸,無效的影片尺寸,,
tvp_win32,TVPRoughVsyncIntervalReadFromApi,API から取得したリフレッシュレート : ,Rough VSync interval read from API : %1,从 Rough VSync API 中读取：%1,從 Rough VSync API 中讀取：%1,,
tvp_win32,TVPRoughVsyncIntervalStillSeemsWrong,リフレッシュレートはまだ間違っているようなので、デフォルト値(16)と仮定します,"Rough VSync interval still seems wrong, assuming default value (16)",Rough VSync 内部仍旧有错误，假定为默认值（16）,Rough VSync 內部仍舊有錯誤，假定為預設值（16）,,
tvp_win32,TVPInfoFoundDirect3DInterface,(info) IDirect3D9 以上のインターフェイスが見つかりました。現在の Direct3D ドライバ情報を取得します...,(info) IDirect3D9 or higher detected. Retrieving current Direct3D driver information...,（info）未找到 IDirect3D9 或更新的接口。获取正在使用的 Direct3D 驱动的信息。,（info）未找到 IDirect3D9 或更新的介面。取得正在使用的 Direct3D 驅動程式的資訊。,,
tvp_win32,TVPInfoFaild,(info) 失敗,(info) Failed.,（info）失败。,（info）失敗。,,
tvp_win32,TVPInfoDirect3D,(info) Direct3D 読込み...,(info) Loading Direct3D ...,（info）载入 Direct3D...,（info）載入 Direct3D...,,
tvp_win32,TVPCannotLoadD3DDLL,d3d9.dll をロードできません,Cannot load d3d9.dll,无法加载 d3d9.dll,無法載入 d3d9.dll,,
tvp_win32,TVPNotFoundDirect3DCreate,Direct3DCreate9 が d3d9.dll に見つかりません,Missing Direct3DCreate9 in d3d9.dll,在 d3d9.dll 中未找到 Direct3DCreate9 函数。,在 d3d9.dll 中未找到 Direct3DCreate9 函式。,,
tvp_win32,TVPInfoEnvironmentUsing,(info) environment: %1 を使用,(info) environment: using %1,（info）environment：使用 %1,（info）environment：使用 %1,,
tvp_win32,TVPInfoSearchBestFullscreenResolution,(info) 最適なフルスクリーン解像度を検索 ...,(info) Searching best fullscreen resolution ...,（info）查找全屏最佳分辨率中...,（info）尋找全螢幕最佳解析度中...,,
tvp_win32,TVPInfoConditionPreferredScreenMode,(info) condition: 推奨スクリーンモード: %1,(info) condition: preferred screen mode: %1,（info）condition：推荐屏幕模式：%1,（info）condition：建議螢幕模式：%1,,
tvp_win32,TVPInfoConditionMode,(info) condition: モード: %1,(info) condition: mode: %1,（info）condition：模式：%1,（info）condition：模式：%1,,
tvp_win32,TVPInfoConditionZoomMode,(info) condition: ズームモード: %1,(info) condition: zoom mode: %1,（info）condition：缩放模式：%1,（info）condition：縮放模式：%1,,
tvp_win32,TVPInfoEnvironmentDefaultScreenMode,(info) environment: デフォルトスクリーンモード: %1,(info) environment: default screen mode: %1,（info）environment：默认屏幕模式：%1,（info）environment：預設螢幕模式：%1,,
tvp_win32,TVPInfoEnvironmentDefaultScreenAspectRatio,(info) environment: デフォルトスクリーンアスペクトレート: %1 : %2,(info) environment: default screen aspect ratio: %1 : %2,（info）environment：默认屏幕比例：%1:%2,（info）environment：預設螢幕比例：%1:%2,,
tvp_win32,TVPInfoEnvironmentAvailableDisplayModes,(info) environment: 有効なディスプレイモード:,(info) environment: available display modes:,（info）environment：可用显示模式：,（info）environment：可用顯示模式：,,
tvp_win32,TVPInfoNotFoundScreenModeFromDriver,(info) Panic! ドライバーから提供されたスクリーンモードに適切なものはありません。デフォルト画面サイズ、色数を試します,(info) Panic! There is no reasonable candidate screen mode provided from the driver ... trying to use the default screen size and color depth ...,（info）Panic！未从驱动中找到合适的屏幕模式。尝试使用默认画面尺寸和色彩数。,（info）Panic！未從驅動程式中找到合適的螢幕模式。嘗試使用預設畫面尺寸和色彩數。,,
tvp_win32,TVPInfoResultCandidates,(info) result: candidates:,(info) result: candidates:,（info）result： 候选：,（info）result： 候選：,,
tvp_win32,TVPInfoTryScreenMode,(info) スクリーンモードの %1 を試みる,(info) Trying screen mode: %1,（info）尝试使用 %1 屏幕显示模式。,（info）嘗試使用 %1 螢幕顯示模式。,,
tvp_win32,TVPAllScreenModeError,全スクリーンモードを試しましたが、使用可能なモードはありませんでした,"All screen mode has been tested, but no modes available at all.",所有屏幕显示模式都已测试，未找到可用的。,所有螢幕顯示模式都已測試，未找到可用的。,,
tvp_win32,TVPInfoChangeScreenModeSuccess,(info) スクリーンモード変更に成功しました,(info) Changing screen mode succeeded,（info）成功切换屏幕显示模式。,（info）成功切換螢幕顯示模式。,,
tvp_win32,TVPSelectXP3FileOrFolder,XP3ファイルかフォルダを選択してください,Select XP3 file or folder,请选择 XP3 封包或文件夹。,請選擇 XP3 封裝檔或資料夾。,,
tvp_win32,TVPD3dErrDeviceLost,D3D : デバイスは消失しています。現在リセットできません。,D3D : The device has been lost but cannot be reset at this time.,D3D：设备已失效，但当前无法进行重置。例如：有其他进程进行过独占式全屏或输出屏幕进行过切换。,D3D：裝置已失效，但目前無法進行重置。例如：有其他處理程序進行過獨佔式全螢幕或輸出螢幕進行過切換。,,
tvp_win32,TVPD3dErrDriverIinternalError,D3D : ドライバ内部でエラーが発生しました。アプリケーションをシャットダウンする必要があります。,D3D : Internal driver error. Applications should destroy and recreate the device when receiving this error. ,D3D：内部驱动错误。请关闭程序后重新启动。,D3D：內部驅動程式錯誤。請關閉程式後重新啟動。,,
tvp_win32,TVPD3dErrInvalidCall,D3D : メソッドの呼び出しが無効です。メソッドのパラメータが有効なポインタではない等の可能性があります。,"D3D : The method call is invalid. For example, a method's parameter may not be a valid pointer.",D3D：调用了无效的方法。例如：函数的参数不是一个有效的指针（pointer）。,D3D：呼叫了無效的方法。例如：函式的參數不是一個有效的指標（pointer）。,,
tvp_win32,TVPD3dErrOutOfVideoMemory,D3D : Direct3D が処理を行うのに十分なディスプレイ メモリがありません,D3D : Direct3D does not have enough display memory to perform the operation. ,D3D：Direct3D 没有足够的显存来执行该操作。,D3D：Direct3D 沒有足夠的顯示記憶體來執行該操作。,,
tvp_win32,TVPD3dErrOutOfMemory,D3D : Direct3D が呼び出しを完了するための十分なメモリを割り当てることができませんでした,D3D : Direct3D could not allocate sufficient memory to complete the call.,D3D：Direct3D 不能分配有效的内存来调用。,D3D：Direct3D 不能配置有效的記憶體來呼叫。,,
tvp_win32,TVPD3dErrWrongTextureFormat,D3D : テクスチャ サーフェイスのピクセル フォーマットが無効です,D3D : The pixel format of the texture surface is not valid.,D3D：错误的纹理格式。,D3D：錯誤的紋理格式。,,
tvp_win32,TVPD3dErrUnsuportedColorOperation,D3D : 色値に対して指定されているテクスチャ ブレンディング処理を、デバイスがサポートしていません,D3D : The device does not support a specified texture-blending operation for color values.,D3D：不支持的色彩操作类型。,D3D：不支援的色彩操作類型。,,
tvp_win32,TVPD3dErrUnsuportedColorArg,D3D : 色値に対して指定されているテクスチャ ブレンディング引数を、デバイスがサポートしていません,D3D : The device does not support a specified texture-blending argument for color values.,D3D：不支持的色彩参数。,D3D：不支援的色彩參數。,,
tvp_win32,TVPD3dErrUnsuportedAalphtOperation,D3D : アルファ チャンネルに対して指定されているテクスチャ ブレンディング処理を、デバイスがサポートしていません,D3D : The device does not support a specified texture-blending operation for the alpha channel.,D3D：不支持的 alpha 通道操作类型。,D3D：不支援的 alpha 通道操作類型。,,
tvp_win32,TVPD3dErrUnsuportedAlphaArg,D3D : アルファ チャンネルに対して指定されているテクスチャ ブレンディング引数を、デバイスがサポートしていません,D3D : The device does not support a specified texture-blending argument for the alpha channel.,D3D：不支持的 alpha 通道参数类型。,D3D：不支援的 alpha 通道參數類型。,,
tvp_win32,TVPD3dErrTooManyOperations,D3D : デバイスがサポートしている数より多くのテクスチャ フィルタリング処理を、アプリケーションが要求しています,D3D : The application is requesting more texture-filtering operations than the device supports.,D3D：此应用程序正在请求进行多于设备支持数量的纹理过滤操作。,D3D：此應用程式正在請求進行多於裝置支援數量的紋理過濾操作。,,
tvp_win32,TVPD3dErrConflictioningTextureFilter,D3D : 現在のテクスチャ フィルタは同時には使えません,D3D : The current texture filters cannot be used together.,D3D：当前纹理过滤不能同时使用。,D3D：目前紋理過濾不能同時使用。,,
tvp_win32,TVPD3dErrUnsuportedFactorValue,D3D : デバイスが指定されたテクスチャ係数値をサポートしていません,D3D : The device does not support the specified texture factor value. Not used; provided only to support older drivers.,D3D：不支持的纹理因子值：未被使用或仅用于老旧设备。,D3D：不支援的紋理因子值：未被使用或僅用於老舊裝置。,,
tvp_win32,TVPD3dErrConflictioningRenderState,D3D : 現在設定されているレンダリング ステートは同時には使えません,D3D : The currently set render states cannot be used together.,D3D：不能同时设置渲染状态。,D3D：不能同時設定渲染狀態。,,
tvp_win32,TVPD3dErrUnsupportedTextureFilter,D3D : デバイスが指定されたテクスチャ フィルタをサポートしていません,D3D : The device does not support the specified texture filter.,D3D：不支持的纹理过滤类型。,D3D：不支援的紋理過濾類型。,,
tvp_win32,TVPD3dErrConflictioningTexturePalette,D3D : 現在のテクスチャは同時には使えません,D3D : The current textures cannot be used simultaneously.,D3D：不能同时使用当前纹理。,D3D：不能同時使用目前紋理。,,
tvp_win32,TVPD3dErrNotFound,D3D : 要求された項目が見つかりませんでした,D3D : The requested item was not found.,D3D：未找到项目未找到。,D3D：未找到項目。,,
tvp_win32,TVPD3dErrMoreData,D3D : 指定されたバッファ サイズに保持できる以上のデータが存在します,D3D : There is more data available than the specified buffer size can hold.,D3D：可以声明更多的缓冲数据。,D3D：可以宣告更多的緩衝資料。,,
tvp_win32,TVPD3dErrDeviceNotReset,D3D : デバイスは、消失していますが、現在リセットできます,D3D : The device has been lost but can be reset at this time.,D3D：设备已失效，当前可以进行重置。,D3D：裝置已失效，目前可以進行重置。,,
tvp_win32,TVPD3dErrNotAvailable,D3D : このデバイスは、照会されたテクニックをサポートしていません,D3D : This device does not support the queried technique.,D3D：当前设备不支持所查询的技术。,D3D：目前裝置不支援所查詢的技術。,,
tvp_win32,TVPD3dErrInvalidDevice,D3D : 要求されたデバイスの種類が無効です,D3D : The requested device type is not valid.,D3D：请求的设备类型无效。,D3D：請求的裝置類型無效。,,
tvp_win32,TVPD3dErrDriverInvalidCall,D3D : 使用されません,D3D : Not used.,未使用。,未使用。,,
tvp_win32,TVPD3dErrWasStillDrawing,D3D : このサーフェスとの間で情報を転送している以前のビット演算が不完全です,D3D : The previous blit operation that is transferring information to or from this surface is incomplete.,D3D：正在进行 blit 操作或未完成操作。,D3D：正在進行 blit 操作或未完成操作。,,
tvp_win32,TVPD3dErrDeviceHung,D3D : このコードを返したデバイスが原因で、ハードウェア アダプターが OS によってリセットされました,D3D : The device that returned this code caused the hardware adapter to be reset by the OS.,D3D：硬件适配器被系统重置。,D3D：硬體介面卡被系統重置。,,
tvp_win32,TVPD3dErrUnsupportedOverlay,D3D : 指定されたサイズまたはディスプレイ モードのオーバーレイをデバイスがサポートしていません。,D3D : The device does not support overlay for the specified size or display mode. ,D3D：当前设备不支持指定的尺寸或者显示模式。,D3D：目前裝置不支援指定的尺寸或者顯示模式。,,
tvp_win32,TVPD3dErrUnsupportedOverlayFormat,D3D : 指定されたサーフェス フォーマットのオーバーレイをデバイスがサポートしていません。,D3D : The device does not support overlay for the specified surface format. ,D3D：当前设备不支持在指定的 surface 格式上 overlay。,D3D：目前裝置不支援在指定的 surface 格式上 overlay。,,
tvp_win32,TVPD3dErrCannotProtectContent,D3D : D3DERR_CANNOTPROTECTCONTENT,D3D : The specified content cannot be protected.,D3D：指定的内容无法被保护。,D3D：指定的內容無法被保護。,,
tvp_win32,TVPD3dErrUnsupportedCrypto,D3D : 指定された暗号化アルゴリズムをサポートしていません。,D3D : The specified cryptographic algorithm is not supported.,D3D：不支持指定的加密算法。,D3D：不支援指定的加密演算法。,,
tvp_win32,TVPD3dErrPresentStatisticsDisJoint,D3D : D3DERR_PRESENT_STATISTICS_DISJOINT,D3D : The present statistics have no orderly sequence.,D3D：当前状态下无有序序列。,D3D：目前狀態下無有序序列。,,
tvp_win32,TVPD3dErrDeviceRemoved,D3D : ハードウェア アダプターが削除されています,D3D : The hardware adapter has been removed.,D3D：硬件适配器已被移除。,D3D：硬體介面卡已被移除。,,
tvp_win32,TVPD3dOkNoAutoGen,D3D : 成功しましたが、このフォーマットに対するミップマップの自動生成はサポートされていません,"D3D : This is a success code. However, the autogeneration of mipmaps is not supported for this format.",D3D：成功。但是，此格式不支持自动 mipmap。,D3D：成功。但是，此格式不支援自動 mipmap。,,
tvp_win32,TVPD3dErrFail,D3D : Direct3D サブシステム内で原因不明のエラーが発生しました,D3D : An undetermined error occurred inside the Direct3D subsystem.,D3D：Direct3D 子系统内发生未知错误。,D3D：Direct3D 子系統內發生未知錯誤。,,
tvp_win32,TVPD3dErrInvalidArg,D3D : 無効なパラメータが関数に渡されました,D3D : An invalid parameter was passed to the returning function.,D3D：回调函数接受到无效的参数。,D3D：回呼函式接收到無效的參數。,,
tvp_win32,TVPD3dUnknownError,D3D : 不明なエラーが発生しました,D3D : Unknown error.,D3D：未知错误。,D3D：未知錯誤。,,
tvp_win32,TVPExceptionAccessViolation,Access Violation: スレッドが適切なアクセス権を持たない仮想アドレスに対して、読み取りまたは書き込みを試みました。,Access Violation: The thread attempts to read from or write to a virtual address for which it does not have access.,Access Violation：该线程尝试读取或写入一个无权访问的虚拟地址。,Access Violation：該執行緒嘗試讀取或寫入一個無權存取的虛擬位址。,,
tvp_win32,TVPExceptionBreakpoint,Break Point: ブレークポイントに到達しました。,Break Point: A breakpoint is encountered.,Break Point：触发断点。,Break Point：觸發中斷點。,,
tvp_win32,TVPExceptionDatatypeMisalignment,Data Type Misalignment: 境界整列をサポートしないハードウェア上で、スレッドが境界に整列していないデータの読み取りまたは書き込みを試みました。たとえば、16 ビットの値は 2 バイトの境界線上に、32 ビットの値は 4 バイトの境界線上に整列していなければなりません。,"Data Type Misalignment: The thread attempts to read or write data that is misaligned on hardware that does not provide alignment. For example, 16-bit values must be aligned on 2-byte boundaries, 32-bit values on 4-byte boundaries, and so on.",Data Type Misalignment：线程尝试在未提供自动对齐的设备上写入未经对齐的数据。,Data Type Misalignment：執行緒嘗試在未提供自動對齊的裝置上寫入未對齊的資料。,,
tvp_win32,TVPExceptionSingleStep,Single Step: トレーストラップなどの単一命令メカニズムから 1 つの命令の実行が通知されました。,Single Step: A trace trap or other single instruction mechanism signals that one instruction is executed.,Single Step： 标志寄存器的TF位为1时，每执行一条指令就会引发该异常。主要用于单步调试。,Single Step： 旗標暫存器的TF位元為1時，每執行一條指令就會引發該例外。主要用於單步偵錯。,,
tvp_win32,TVPExceptionArrayBoundsExceeded,Array Bounds Exceede: スレッドが範囲外の配列要素にアクセスしようとしました。使用中のハードウェアは境界チェックをサポートしています。,"Array Bounds Exceede: The thread attempts to access an array element that is out of bounds, and the underlying hardware supports bounds checking.",Array Bounds Exceede：线程尝试越界访问数组元素，边界检查由硬件底层实现。,Array Bounds Exceede：執行緒嘗試越界存取陣列元素，邊界檢查由硬體底層實作。,,
tvp_win32,TVPExceptionFltDenormalOperand,Denormal Operand: 浮動小数点演算のオペランドの 1 つが不正規化値です。不正規化値とは、小さすぎて標準の浮動小数点値として表現できない値です。,Denormal Operand: One of the operands in a floating point operation is denormal. A denormal value is one that is too small to represent as a standard floating point value.,Denormal Operand：浮点运算操作数异常，由于异常值太小而无法表达为标准浮点值。,Denormal Operand：浮點運算運算元異常，由於異常值太小而無法表達為標準浮點值。,,
tvp_win32,TVPExceptionFltDivideByZero,Divide By Zero: スレッドが浮動小数点値を 0 の浮動小数点除数で除算しようとしました。,Divide By Zero: The thread attempts to divide a floating point value by a floating point divisor of 0 (zero).,Divide By Zero：线程尝试用一个浮点数进行零除。,Divide By Zero：執行緒嘗試用一個浮點數進行零除。,,
tvp_win32,TVPExceptionFltInexactResult,Inexact Result: 浮動小数点演算の結果を 10 進小数で正確に表現できません。,Inexact Result: The result of a floating point operation cannot be represented exactly as a decimal fraction.,Inexact Result：浮点运算的结果不能精确地表示为小数。,Inexact Result：浮點運算的結果不能精確地表示為小數。,,
tvp_win32,TVPExceptionFltInvalidOperation,Invalid Operation: このリストに含まれていない例外が発生しました。,Invalid Operation: A floating point exception that is not included in this list.,Invalid Operation：无效的运算符操作。,Invalid Operation：無效的運算子操作。,,
tvp_win32,TVPExceptionFltOverflow,Overflow: 浮動小数点演算の指数が大きく、対応する型によって表現できません。,Overflow: The exponent of a floating point operation is greater than the magnitude allowed by the corresponding type.,Overflow：浮点运算的指数大于相应类型允许的量值。,Overflow：浮點運算的指數大於相應類型允許的量值。,,
tvp_win32,TVPExceptionFltStackCheck,Stack Check: 浮動小数点演算の結果、スタックのオーバーフローまたはアンダーフローが発生しました。,"Stack Check: The stack has overflowed or underflowed, because of a floating point operation.",Stack Check：由于浮点操作，堆栈已溢出或正在溢出。,Stack Check：由於浮點操作，堆疊已溢位或正在溢位。,,
tvp_win32,TVPExceptionFltUnderflow,Underflow: 浮動小数点演算の指数が小さく、対応する型によって表現できません。,Underflow: The exponent of a floating point operation is less than the magnitude allowed by the corresponding type.,Underflow：浮点运算的指数小于相应类型允许的幅度。,Underflow：浮點運算的指數小於相應類型允許的幅度。,,
tvp_win32,TVPExceptionIntDivideByZero,Divide By Zero: スレッドが整数値を 0 の整数除数で除算しようとしました。,Divide By Zero: The thread attempts to divide an integer value by an integer divisor of 0 (zero).,Divide By Zero：线程尝试用一个整数进行零除。,Divide By Zero：執行緒嘗試用一個整數進行零除。,,
tvp_win32,TVPExceptionIntOverflow,Overflow: 整数演算結果の最上位ビットが繰り上がりました。,"Overflow: The result of an integer operation creates a value that is too large to be held by the destination register. In some cases, this will result in a carry out of the most significant bit of the result. Some operations do not set the carry flag.",Overflow：整数运算结果溢出。在某些情况下，这将导致某些操作无法设置进位标志。,Overflow：整數運算結果溢位。在某些情況下，這將導致某些操作無法設定進位旗標。,,
tvp_win32,TVPExceptionPrivInstruction,Priv Instruction: 現在のマシンモードで許可されていない演算を行う命令をスレッドが実行しようとしました。,Priv Instruction: The thread attempts to execute an instruction with an operation that is not allowed in the current computer mode.,Priv Instruction：线程尝试执行一条当前CPU模式下不允许的指令。,Priv Instruction：執行緒嘗試執行一條目前CPU模式下不允許的指令。,,
tvp_win32,TVPExceptionNoncontinuableException,Noncontinuable Exception: 継続不可能な例外が発生した後、スレッドが実行を継続しようとしました。,Noncontinuable Exception: The thread attempts to continue execution after a non-continuable exception occurs.,Noncontinuable Exception：在不可继续执行的错误发生后，线程依然尝试继续执行。,Noncontinuable Exception：在不可繼續執行的錯誤發生後，執行緒依然嘗試繼續執行。,,
